name,name_lv,admin_unit,coord_Lat,coord_Long,status_republic,status_from,gerbURL,population
Adazi,Ādaži,Ādažu novads,57.076944,24.323611,false,2022. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/%C4%80da%C5%BEu_pagasts_COA.svg/25px-%C4%80da%C5%BEu_pagasts_COA.svg.png,7482Ainazi,Ainaži,Salacgrīvas novads,57.863888888889,24.36,false,1926. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Ainazi_gerb.png/25px-Ainazi_gerb.png,701
Aizkraukle,Aizkraukle,Aizkraukles novads,56.604166666667,25.255277777778,false,1967. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Aizkraukle_gerb.png/25px-Aizkraukle_gerb.png,7198
Aizpute,Aizpute,Aizputes novads,56.721666666667,21.600277777778,false,1378. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Aizpute.png/25px-Aizpute.png,4128
Akniste,Aknīste,Aknīstes novads,56.161944444444,25.7475,false,1991. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Akniste.png/25px-Akniste.png,995
Aloja,Aloja,Alojas novads,57.766666666667,24.887222222222,false,1992. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Coat_of_Arms_of_Aloja.svg/25px-Coat_of_Arms_of_Aloja.svg.png,1073
Aluksne,Alūksne,Alūksnes novads,57.420555555556,27.048611111111,false,1920. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Aluksne.png/25px-Aluksne.png,6945
Ape,Ape,Apes novads,57.540833333333,26.693333333333,false,1928. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/LVA_Ape_COA.png/25px-LVA_Ape_COA.png,832
Auce,Auce,Auces novads,56.460833333333,22.901111111111,false,1924. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Auce.png/25px-Auce.png,2360
Baldone,Baldone,Baldones novads,56.7425,24.394166666667,false,1991. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baldone.png/25px-Baldone.png,3789
Balozi,Baloži,Ķekavas novads,56.875,24.119166666667,false,1991. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Coat_of_Arms_of_Balo%C5%BEi.svg/25px-Coat_of_Arms_of_Balo%C5%BEi.svg.png,6992
Balvi,Balvi,Balvu novads,57.1325,27.265833333333,false,1928. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Coat_of_Arms_of_Balvi.svg/25px-Coat_of_Arms_of_Balvi.svg.png,6103
Bauska,Bauska,Bauskas novads,56.406944444444,24.186388888889,false,1609. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Lv-Bauska_city_coa.png/25px-Lv-Bauska_city_coa.png,10
Broceni,Brocēni,Brocēnu novads,56.68,22.568333333333,false,1992. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Coat_of_Arms_of_Broc%C4%93ni.svg/25px-Coat_of_Arms_of_Broc%C4%93ni.svg.png,3009
Cesis,Cēsis,Cēsu novads,57.3125,25.275277777778,false,1323. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Cesis_gerb.png/25px-Cesis_gerb.png,16
Cesvaine,Cesvaine,Cesvaines novads,56.966111111111,26.305,false,1991. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Coat_of_Arms_of_Cesvaine.svg/25px-Coat_of_Arms_of_Cesvaine.svg.png,1280
Dagda,Dagda,Dagdas novads,56.094444444444,27.537222222222,false,1992. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Coat_of_Arms_of_Dagda.svg/25px-Coat_of_Arms_of_Dagda.svg.png,1887
Daugavpils,Daugavpils,Daugavpils pilsēta,55.875,26.535555555556,true,1582. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Coat_of_arms_of_Daugavpils.png/25px-Coat_of_arms_of_Daugavpils.png,86
Dobele,Dobele,Dobeles novads,56.624166666667,23.28,false,1917. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Escut_Dobele.png/25px-Escut_Dobele.png,9031
Durbe,Durbe,Durbes novads,56.588888888889,21.369444444444,false,1893. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Durbe_gerb.png/25px-Durbe_gerb.png,520
Grobina,Grobiņa,Grobiņas novads,56.535,21.166111111111,false,1695. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Grobina_gerb.png/25px-Grobina_gerb.png,3778
Gulbene,Gulbene,Gulbenes novads,57.1725,26.761111111111,false,1928. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Coat_of_Arms_of_Gulbene.svg/25px-Coat_of_Arms_of_Gulbene.svg.png,7171
Iecava,Iecava,Bauskas novads,56.5975,24.196667,false,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Iecavas_pils%C4%93tas_%C4%A3erbonis.svg/25px-Iecavas_pils%C4%93tas_%C4%A3erbonis.svg.png,5677
Ikskile,Ikšķile,Ikšķiles novads,56.836666666667,24.496111111111,false,1992. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Coat_of_Arms_of_Ik%C5%A1%C4%B7ile.svg/25px-Coat_of_Arms_of_Ik%C5%A1%C4%B7ile.svg.png,7698
Ilukste,Ilūkste,Ilūkstes novads,55.977777777778,26.2975,false,1917. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Coat_of_Arms_of_Il%C5%ABkste.svg/25px-Coat_of_Arms_of_Il%C5%ABkste.svg.png,2312
